Data,Godzina,RCE
20230223,5,598.7
20230223,6,620.42
20230223,7,730.42
20230223,8,809.53
20230223,9,817.06
20230223,10,788.09
20230223,11,737.68
20230223,12,713.92
20230223,13,702.56
20230223,14,698.96
20230223,15,715.01
20230223,16,747.42
20230223,17,787.38
20230223,18,792.55
20230223,19,788.92
20230223,20,796.02
20230223,21,757.47
20230223,22,702.54
20230223,23,692.27
20230223,24,633.41
20230224,1,603.94
20230224,2,573.53
20230224,3,567.61
20230224,4,568.92
20230224,5,565.81
20230224,6,661.39
20230224,7,710.6
20230224,8,748.33
20230224,9,755.54
20230224,10,749.81
20230224,11,719.83
20230224,12,708.81
20230224,13,703.55
20230224,14,697.94
20230224,15,697.28
20230224,16,711.96
20230224,17,717.95
20230224,18,772.87
20230224,19,771.29
20230224,20,768.07
20230224,21,715.84
20230224,22,653.15
20230224,23,659.23
20230224,24,572.78
20230225,1,561.48
20230225,2,556.44
20230225,3,553.12
20230225,4,544.26
20230225,5,548.37
20230225,6,544.3
20230225,7,515.06
20230225,8,535.58
20230225,9,558.6
20230225,10,563.68
20230225,11,564.01
20230225,12,569.56
20230225,13,552.84
20230225,14,551.96
20230225,15,552.6
20230225,16,551.37
20230225,17,559.45
20230225,18,579.11
20230225,19,599.75
20230225,20,598.08
20230225,21,573.56
20230225,22,559.11
20230225,23,559.81
20230225,24,506.84
20230226,1,492.41
20230226,2,463.97
20230226,3,457.29
20230226,4,462.49
20230226,5,464.47
20230226,6,492.7
20230226,7,496.25
20230226,8,502.16
20230226,9,492.44
20230226,10,489.59
20230226,11,492.74
20230226,12,492.74
20230226,13,492.49
20230226,14,489.84
20230226,15,492.75
20230226,16,550.78
20230226,17,570.01
20230226,18,665.81
20230226,19,717.34
20230226,20,731.87
20230226,21,709.68
20230226,22,704.01
20230226,23,671.97
20230226,24,607.58
20230227,1,652.54
20230227,2,596.79
20230227,3,609.99
20230227,4,612.3
20230227,5,617.41
20230227,6,680.29
20230227,7,766.56
20230227,8,852.97
20230227,9,869.02
20230227,10,808.29
20230227,11,740.48
20230227,12,707.54
20230227,13,714.31
20230227,14,708.81
20230227,15,704.12
20230227,16,729.18
20230227,17,792.8
20230227,18,859.42
20230227,19,876.75
20230227,20,875.36
20230227,21,844.97
20230227,22,772.09
